issue_id,part_id,scope_id,mode_id,report_date,units_in_service,claim_count,median_machine_hours,detection_stage,observed_effect_id,observed_severity,description
8D-2021-0012,TR-AC-015,PT-VALVE-MECH,FM-VALVE-MECH-02,2021-04-07,5700,6,1900,VALIDATION_TEST,EF-11,4,Internal orifice clogging and cab cooling loss observed on Evaporator Block Expansion Valve Assembly. Root cause: Desiccant silica gel breakdown debris from receiver-drier bottle
8D-2021-0013,TR-ELE-048,PT-SEAL,FM-SEAL-03,2021-04-13,4900,24,2950,VALIDATION_TEST,EF-13,4,Dust & water leaks into cab interior during pressure washing observed on Cab Floor Frame Wire Harness Pass-Through Grommet. Root cause: Incomplete sealing around bundled irregular wire harness shapes
8D-2021-0014,TR-HYD-028,PT-COUPLING,FM-COUPLING-02,2021-04-23,7500,15,3250,VALIDATION_TEST,EF-08,7,Poppet valve stuck open leading to hydraulic oil spillage observed on Implement Quick-Disconnect Female Coupler. Root cause: Dirt particle contamination jamming internal poppet return spring
8D-2021-0015,TR-ENG-031,PT-HOSE-COOLANT,FM-HOSE-COOLANT-01,2021-05-26,7600,15,1250,END_OF_LINE_TEST,EF-05,8,Electrochemical degradation (ECD) inner tube micro-channeling observed on Radiator Upper Coolant Feed Hose. Root cause: Stray electrical currents in coolant fluid creating galvanic degradation
8D-2021-0016,TR-ELE-048,PT-SEAL,FM-SEAL-03,2021-05-28,3900,20,3300,VALIDATION_TEST,EF-13,4,Dust & water leaks into cab interior during pressure washing observed on Cab Floor Frame Wire Harness Pass-Through Grommet. Root cause: Incomplete sealing around bundled irregular wire harness shapes
8D-2021-0017,TR-LEG-HY-921,FAM-FLEX-ROUTING,FM-FLEX-ROUTING-01,2021-05-29,3900,8,500,END_OF_LINE_TEST,EF-02,7,"Cover pinhole leak from abrasion against adjacent harness observed on Loader Boom Hose (Program T5, retired 2021). Root cause: Relative motion between hose and wiring harness with no separation clip"
8D-2021-0018,TR-ENG-036,PT-HOSE-COOLANT,FM-HOSE-COOLANT-04,2021-06-13,7300,7,3400,VALIDATION_TEST,EF-02,7,Oil blistering and outer cover delamination observed on Transmission Oil Cooler Heat Exchanger Hose. Root cause: Transmission fluid additives (sulfur-phosphorus EP) swelling inner rubber
8D-2021-0019,TR-AC-018,PT-VALVE-MECH,FM-VALVE-MECH-03,2021-06-15,1200,1,2650,VALIDATION_TEST,EF-10,6,Schrader valve core leak following dealership servicing observed on High-Pressure Service Port Valve Cap & Core. Root cause: Dirt ingress into valve seat during field servicing without protective dust cap
8D-2021-0020,TR-LEG-CD-997,PT-CONDUIT-ELEC,FM-CONDUIT-ELEC-02,2021-06-28,2400,5,650,END_OF_LINE_TEST,EF-09,9,"Sleeve end fraying exposing conductors to abrasion observed on Chassis Harness Conduit (Program T5, retired 2021). Root cause: Cut sleeve end left untreated at the harness breakout"
8D-2021-0021,TR-ENG-038,FAM-FLEX-ROUTING,FM-FLEX-ROUTING-02,2021-07-08,4100,20,1000,END_OF_LINE_TEST,EF-02,7,Chafing wear-through against adjacent structure recurred on EGR Cooler Return Coolant Hose. Root cause: Line contacting a frame member or bracket edge with no separation clip or sleeve
8D-2021-0022,TR-LEG-CB-985,PT-CABLE-MECH,FM-CABLE-MECH-02,2021-07-15,6100,30,850,END_OF_LINE_TEST,EF-15,5,"Inner cable corrosion increasing actuation effort observed on Throttle Control Cable (Program T4, retired 2019). Root cause: Liner permeability allowing moisture to reach the uncoated steel core"
8D-2021-0023,TR-ENG-040,PT-VALVE-MECH,FM-VALVE-MECH-04,2021-07-21,6300,32,1450,VALIDATION_TEST,EF-05,8,"Wax element stuck in bypass mode causing oil overheating recurred on Engine Block Coolant Drain Valve Cock. Root cause: Thermal degradation of paraffin wax charge after 1,500 operating hours"
8D-2021-0024,TR-AC-019,PT-HOSE-REFRIG,FM-HOSE-REFRIG-02,2021-07-30,4900,54,3500,VALIDATION_TEST,EF-12,3,A-pillar trim buzzing & structure-borne noise transmission observed on Cab Isolated Liquid Line AC Hose. Root cause: Hose stiffness transmitting compressor pulsation frequencies into cab sheet metal
8D-2021-0025,TR-AC-017,PT-CLAMP,FM-CLAMP-04,2021-08-07,3600,2,2400,END_OF_LINE_TEST,EF-09,9,Short circuit arc-flash against frame rail recurred on Cab Roof HVAC Blower Duct Hose Clamp. Root cause: EPDM rubber cushion wearing through under continuous cable vibration
8D-2021-0026,TR-FL-004,PT-CLAMP,FM-CLAMP-01,2021-08-07,6200,12,2600,VALIDATION_TEST,EF-02,7,Low-temperature fuel weeping below -15°C observed on Constant-Tension Fuel Return Line Clamp. Root cause: Hose rubber cold compression set exceeding clamp spring expansion margin
8D-2021-0027,TR-FL-006,PT-COUPLING,FM-COUPLING-03,2021-08-08,7200,4,3650,DEALER_SERVICE,EF-08,7,Dust cap loss leading to contamination ingress at the coupler recurred on Quick-Connect Nylon Fuel Coupling. Root cause: Tether fatigue fracture allowing the cap to be lost in the field
8D-2021-0028,TR-ENG-033,PT-HOSE-COOLANT,FM-HOSE-COOLANT-03,2021-08-12,6800,34,3450,VALIDATION_TEST,EF-15,5,Coolant vapor permeation loss requiring frequent top-ups observed on Coolant Degassing Expansion Tank Hose. Root cause: High steam permeability coefficient of standard silicone rubber
8D-2021-0029,TR-FL-005,PT-BRACKET,FM-BRACKET-01,2021-08-23,1500,8,1850,END_OF_LINE_TEST,EF-06,8,Resonant fatigue fracture along primary mounting lug fillet observed on Fuel Filter Cast Structural Bracket. Root cause: First bending mode vibration (145 Hz) matching diesel engine firing frequency
8D-2021-0030,TR-ENG-040,PT-VALVE-MECH,FM-VALVE-MECH-03,2021-09-04,2000,4,1550,VALIDATION_TEST,EF-10,6,Schrader valve core leak following dealership servicing recurred on Engine Block Coolant Drain Valve Cock. Root cause: Dirt ingress into valve seat during field servicing without protective dust cap
8D-2021-0031,TR-FL-003,PT-HOSE-FUEL,FM-HOSE-FUEL-02,2021-09-04,1600,8,550,END_OF_LINE_TEST,EF-01,9,Thermal degradation & outer cover micro-cracking observed on High-Pressure Fuel Common Rail Feed Hose. Root cause: Radiant engine bay heat soak exceeding 140°C continuous rating
8D-2021-0032,TR-ELE-041,PT-TUBE-PNEUMATIC,FM-TUBE-PNEUMATIC-02,2021-09-06,8100,40,3300,VALIDATION_TEST,EF-07,7,Loss of differential lock engagement under heavy field pull recurred on Trailer Pneumatic Brake Supply Line. Root cause: Tubing softening and swelling under ambient hydraulic fluid mist
8D-2021-0033,TR-FL-002,PT-VALVE-MECH,FM-VALVE-MECH-01,2021-09-13,4100,8,1250,VALIDATION_TEST,EF-02,7,Stem seal weep under high thermal cycling observed on Shutoff Valve Assembly & Mounting. Root cause: Packing nut loosening under continuous engine 2nd order harmonic vibration
8D-2021-0034,TR-AC-016,PT-BRACKET,FM-BRACKET-03,2021-09-15,5600,28,2450,VALIDATION_TEST,EF-10,6,Galvanic corrosion pitting on aluminum bottle housing observed on Receiver Drier Mounting Strap Bracket. Root cause: Direct steel-to-aluminum contact without insulating isolator gasket
8D-2021-0035,TR-HYD-028,PT-COUPLING,FM-COUPLING-01,2021-09-20,2900,1,750,DEALER_SERVICE,EF-01,9,Retaining latch tab embrittlement fracture recurred on Implement Quick-Disconnect Female Coupler. Root cause: UV exposure combined with calcium chloride road salt chemical degradation
8D-2021-0036,TR-LEG-CB-985,PT-CABLE-MECH,FM-CABLE-MECH-02,2021-09-23,6600,33,650,END_OF_LINE_TEST,EF-15,5,"Inner cable corrosion increasing actuation effort observed on Throttle Control Cable (Program T4, retired 2019). Root cause: Liner permeability allowing moisture to reach the uncoated steel core"
8D-2021-0037,TR-AC-013,PT-BRACKET,FM-BRACKET-02,2021-10-08,3800,8,2200,END_OF_LINE_TEST,EF-06,8,Brittle fatigue fracture at lower compressor bolt eyelet observed on AC Compressor Cast Iron Mount Bracket. Root cause: Casting shrinkage porosity combined with cantilevered belt tension load
8D-2021-0038,TR-ELE-048,PT-SEAL,FM-SEAL-03,2021-10-09,8600,43,3250,VALIDATION_TEST,EF-13,4,Dust & water leaks into cab interior during pressure washing observed on Cab Floor Frame Wire Harness Pass-Through Grommet. Root cause: Incomplete sealing around bundled irregular wire harness shapes
8D-2021-0039,TR-HYD-024,PT-TUBE-RIGID,FM-TUBE-RIGID-03,2021-11-02,3400,2,3700,END_OF_LINE_TEST,EF-02,7,Crater pitting & pinhole oil leak under severe salt spray observed on Priority Steering Valve Control Line. Root cause: Zinc plating breakdown under aggressive winter de-icing chemicals
8D-2021-0040,TR-AC-011,PT-HOSE-REFRIG,FM-HOSE-REFRIG-01,2021-11-19,7900,40,2350,END_OF_LINE_TEST,EF-10,6,Refrigerant leakage at aluminum crimp fitting collar observed on HVAC Refrigerant Suction Hose Assembly. Root cause: Axial fretting between ferrule crimp and rubber barrier under engine shake
8D-2021-0041,TR-ELE-043,PT-CLAMP,FM-CLAMP-04,2021-11-22,2800,1,300,END_OF_LINE_TEST,EF-09,9,Short circuit arc-flash against frame rail observed on Heavy-Duty Battery Cable Rubber Insulated P-Clamp. Root cause: EPDM rubber cushion wearing through under continuous cable vibration
8D-2021-0042,TR-AC-014,PT-SEAL,FM-SEAL-01,2021-11-23,2200,2,3100,VALIDATION_TEST,EF-10,6,Seal extrusion and permanent compression set loss observed on HNBR O-Ring Refrigerant Joint Seal. Root cause: Engine compartment heat soak exceeding 135°C after engine shutdown
8D-2021-0043,TR-FL-004,PT-SEAL,FM-SEAL-04,2021-11-24,4500,9,1750,DEALER_SERVICE,EF-02,7,Seal chemical swell from incorrect service fluid recurred on Constant-Tension Fuel Return Line Clamp. Root cause: Field top-up with non-approved fluid attacking the elastomer compound
8D-2021-0044,TR-LEG-FT-995,FAM-JOINT,FM-JOINT-01,2021-11-25,8300,91,2400,END_OF_LINE_TEST,EF-15,5,"Thread galling on stainless fitting during assembly observed on Manifold Port Adapter (Program T4, retired 2019). Root cause: Like-on-like austenitic stainless thread contact without anti-seize"
8D-2021-0045,TR-LEG-VL-951,FAM-FLOW-CONTROL,FM-FLOW-CONTROL-01,2021-11-26,4400,22,3050,DEALER_SERVICE,EF-02,7,"Valve body porosity leak from casting defect observed on Hydraulic Selector Valve (Program T4, retired 2019). Root cause: Gas porosity in the die cast body wall opening under pressure cycling"
8D-2021-0046,TR-LEG-VL-953,FAM-FLOW-CONTROL,FM-FLOW-CONTROL-02,2021-11-26,3000,33,1000,DEALER_SERVICE,EF-15,5,"Actuation seizure after long dormancy in cold climates observed on Air Tank Drain Valve (Program T4, retired 2019). Root cause: Condensate freezing around the spool with no drainage path"
8D-2021-0047,TR-LEG-TB-961,FAM-RIGID-ROUTING,FM-RIGID-ROUTING-01,2021-12-02,5000,10,700,DEALER_SERVICE,EF-02,7,"Flare joint leak from over-torque during field service observed on Brake Hard Line (Program T5, retired 2021). Root cause: No torque specification on service documentation leading to flare cracking"
8D-2021-0048,TR-LEG-VL-957,PT-VALVE-SOLENOID,FM-VALVE-SOLENOID-02,2021-12-18,7300,15,2750,DEALER_SERVICE,EF-09,9,"Coil insulation breakdown from thermal ageing observed on Transmission Shift Solenoid (Program T4, retired 2019). Root cause: Continuous duty coil temperature above the winding insulation class rating"
8D-2021-0049,TR-ENG-040,PT-VALVE-MECH,FM-VALVE-MECH-05,2021-12-20,1900,2,800,VALIDATION_TEST,EF-05,8,Dezincification corrosion & stem snapping upon opening observed on Engine Block Coolant Drain Valve Cock. Root cause: Aggressive tap water used in field topping off coolant mixture
8D-2021-0050,TR-FL-008,PT-TUBE-RIGID,FM-TUBE-RIGID-01,2021-12-29,4000,8,1550,END_OF_LINE_TEST,EF-06,8,Vent line pinch and fuel starvation under chassis twist observed on Fuel Tank Breather & Vapor Vent Tube. Root cause: Inadequate clearance to rear axle suspension link during max articulation
8D-2021-0051,TR-FL-003,PT-HOSE-FUEL,FM-HOSE-FUEL-05,2021-12-30,7200,14,1950,DEALER_SERVICE,EF-06,8,Inner tube swelling and delamination on high biodiesel blends recurred on High-Pressure Fuel Common Rail Feed Hose. Root cause: B20+ fatty acid methyl ester attack on the standard NBR inner liner
8D-2022-0001,TR-LEG-PN-995,PT-HOSE-HOTGAS,FM-HOSE-HOTGAS-02,2022-01-01,5100,10,1000,DEALER_SERVICE,EF-02,7,"Braid strand fatigue fracture at the ferrule observed on Compressor Discharge Hose (Program T5, retired 2021). Root cause: Thermal cycling of the braid against a rigid crimp with no strain relief"
8D-2022-0002,TR-LEG-CP-981,PT-COUPLING,FM-COUPLING-03,2022-01-04,6200,12,500,DEALER_SERVICE,EF-08,7,"Dust cap loss leading to contamination ingress at the coupler observed on Implement Coupler (Program T5, retired 2021). Root cause: Tether fatigue fracture allowing the cap to be lost in the field"
8D-2022-0003,TR-ELE-046,PT-BRACKET,FM-BRACKET-07,2022-01-06,7400,37,3200,END_OF_LINE_TEST,EF-16,6,Sensor wire rip-out during field tilling observed on Wheel Speed ABS Sensor Cable Guard Bracket. Root cause: Heavy corn stalk wrapping around unprotected wheel speed cable loop
8D-2022-0004,TR-ENG-032,PT-HOSE-COOLANT,FM-HOSE-COOLANT-02,2022-01-30,6800,7,2750,END_OF_LINE_TEST,EF-05,8,Hose suction collapse under high engine RPM observed on Radiator Lower Suction Coolant Hose. Root cause: Corrosion fracture of internal wire spring under acidic glycol breakdown
8D-2022-0005,TR-LEG-SL-971,PT-SEAL,FM-SEAL-04,2022-02-07,4000,8,950,DEALER_SERVICE,EF-02,7,"Seal chemical swell from incorrect service fluid observed on Transmission Cover Seal (Program T4, retired 2019). Root cause: Field top-up with non-approved fluid attacking the elastomer compound"
8D-2022-0006,TR-ENG-033,PT-HOSE-COOLANT,FM-HOSE-COOLANT-03,2022-02-14,4000,20,2050,VALIDATION_TEST,EF-15,5,Coolant vapor permeation loss requiring frequent top-ups observed on Coolant Degassing Expansion Tank Hose. Root cause: High steam permeability coefficient of standard silicone rubber
8D-2022-0007,TR-HYD-027,PT-BRACKET,FM-BRACKET-02,2022-02-23,3800,8,1600,END_OF_LINE_TEST,EF-06,8,Brittle fatigue fracture at lower compressor bolt eyelet recurred on Hydrostatic Steering Orbitrol Valve Mounting Plate. Root cause: Casting shrinkage porosity combined with cantilevered belt tension load
8D-2022-0008,TR-FL-001,PT-HOSE-FUEL,FM-HOSE-FUEL-01,2022-03-03,9000,99,1750,END_OF_LINE_TEST,EF-01,9,Wear through / line stress from mechanical interference observed on Hose 3: Fuel Cooler Supply Line. Root cause: Conductive heating & chafing from close proximity to turbo hot sources
8D-2022-0009,TR-ELE-049,PT-FITTING,FM-FITTING-02,2022-03-17,2800,1,350,END_OF_LINE_TEST,EF-08,7,Sensor diaphragm fatigue failure & internal oil leak observed on Hydraulic Main Pressure Transducer Fitting. Root cause: High-frequency hydraulic pressure ripple spikes from piston pump
8D-2022-0010,TR-LEG-PN-995,PT-HOSE-HOTGAS,FM-HOSE-HOTGAS-02,2022-03-21,4600,9,2500,DEALER_SERVICE,EF-02,7,"Braid strand fatigue fracture at the ferrule observed on Compressor Discharge Hose (Program T5, retired 2021). Root cause: Thermal cycling of the braid against a rigid crimp with no strain relief"
8D-2022-0011,TR-ENG-037,PT-TUBE-RIGID,FM-TUBE-RIGID-05,2022-03-31,5700,3,2250,END_OF_LINE_TEST,EF-06,8,Thermal shock cracking at banjo fitting brazed joint observed on Turbocharger Coolant Supply Hard Line. Root cause: Severe thermal gradient during hot engine shutdown (coking temperature >300°C)
8D-2022-0012,TR-FL-001,PT-HOSE-FUEL,FM-HOSE-FUEL-01,2022-04-01,3600,40,2800,END_OF_LINE_TEST,EF-01,9,Wear through / line stress from mechanical interference observed on Hose 3: Fuel Cooler Supply Line. Root cause: Conductive heating & chafing from close proximity to turbo hot sources
8D-2022-0013,TR-LEG-FL-903,PT-HOSE-FUEL,FM-HOSE-FUEL-05,2022-04-09,2100,4,3000,DEALER_SERVICE,EF-06,8,"Inner tube swelling and delamination on high biodiesel blends observed on Fuel Return Line (Program T6, retired 2022). Root cause: B20+ fatty acid methyl ester attack on the standard NBR inner liner"
8D-2022-0014,TR-FL-003,PT-HOSE-FUEL,FM-HOSE-FUEL-02,2022-05-04,5900,30,550,END_OF_LINE_TEST,EF-01,9,Thermal degradation & outer cover micro-cracking observed on High-Pressure Fuel Common Rail Feed Hose. Root cause: Radiant engine bay heat soak exceeding 140°C continuous rating
8D-2022-0015,TR-AC-017,PT-CLAMP,FM-CLAMP-02,2022-06-01,6600,13,3350,VALIDATION_TEST,EF-12,3,Blower noise chitter and duct slippage observed on Cab Roof HVAC Blower Duct Hose Clamp. Root cause: Torque loss of worm-gear screw under cab heating/cooling cycles
8D-2022-0016,TR-AC-016,PT-BRACKET,FM-BRACKET-03,2022-06-26,8900,44,750,VALIDATION_TEST,EF-10,6,Galvanic corrosion pitting on aluminum bottle housing observed on Receiver Drier Mounting Strap Bracket. Root cause: Direct steel-to-aluminum contact without insulating isolator gasket
8D-2022-0017,TR-ELE-050,PT-TUBE-PNEUMATIC,FM-TUBE-PNEUMATIC-01,2022-06-28,1200,2,250,END_OF_LINE_TEST,EF-04,10,Kinking and trailer brake locking during sharp turn recurred on Rear Differential Lock Pneumatic Actuator Line. Root cause: Inadequate bend radius allowance at cab rear articulation joint
8D-2022-0018,TR-AC-016,PT-BRACKET,FM-BRACKET-06,2022-07-05,2700,3,750,END_OF_LINE_TEST,EF-06,8,Fan blade tip clipping against shroud ring recurred on Receiver Drier Mounting Strap Bracket. Root cause: Bracket flexure under heavy chassis twist allowing shroud misalignment
8D-2022-0019,TR-FL-009,PT-HOSE-FUEL,FM-HOSE-FUEL-03,2022-07-08,7900,40,2400,VALIDATION_TEST,EF-01,9,Barb fitting pop-off under cold start pressure spikes observed on Injector Spill-Off Fuel Return Harness. Root cause: Viscous cold fuel creating transient backpressure above barb pull-off rating
8D-2022-0020,TR-LEG-CL-941,PT-CLAMP,FM-CLAMP-05,2022-07-15,7400,37,2350,END_OF_LINE_TEST,EF-02,7,"Clamp band stress corrosion cracking in salt environments observed on Coolant Hose Clamp (Program T5, retired 2021). Root cause: Chloride attack on sensitised 301 stainless band under sustained tensile load"
8D-2022-0021,TR-LEG-TB-961,FAM-RIGID-ROUTING,FM-RIGID-ROUTING-01,2022-07-16,9100,18,1800,DEALER_SERVICE,EF-02,7,"Flare joint leak from over-torque during field service observed on Brake Hard Line (Program T5, retired 2021). Root cause: No torque specification on service documentation leading to flare cracking"
8D-2022-0022,TR-LEG-FS-993,PT-FILTER-SEP,FM-FILTER-SEP-03,2022-07-30,2000,22,750,DEALER_SERVICE,EF-02,7,"Housing thread cross-threading during service causing leak observed on Water Separator Housing (Program T5, retired 2020). Root cause: Coarse thread pitch on a polymer housing tightened by hand in the field"
8D-2022-0023,TR-LEG-VL-953,FAM-FLOW-CONTROL,FM-FLOW-CONTROL-02,2022-08-08,2300,25,2550,DEALER_SERVICE,EF-15,5,"Actuation seizure after long dormancy in cold climates observed on Air Tank Drain Valve (Program T4, retired 2019). Root cause: Condensate freezing around the spool with no drainage path"
8D-2022-0024,TR-AC-014,PT-SEAL,FM-SEAL-01,2022-08-10,5600,6,1900,VALIDATION_TEST,EF-10,6,Seal extrusion and permanent compression set loss observed on HNBR O-Ring Refrigerant Joint Seal. Root cause: Engine compartment heat soak exceeding 135°C after engine shutdown
8D-2022-0025,TR-HYD-027,PT-BRACKET,FM-BRACKET-01,2022-08-10,4200,21,550,END_OF_LINE_TEST,EF-06,8,Resonant fatigue fracture along primary mounting lug fillet recurred on Hydrostatic Steering Orbitrol Valve Mounting Plate. Root cause: First bending mode vibration (145 Hz) matching diesel engine firing frequency
8D-2022-0026,TR-ENG-036,PT-HOSE-COOLANT,FM-HOSE-COOLANT-04,2022-08-15,7400,7,650,VALIDATION_TEST,EF-02,7,Oil blistering and outer cover delamination observed on Transmission Oil Cooler Heat Exchanger Hose. Root cause: Transmission fluid additives (sulfur-phosphorus EP) swelling inner rubber
8D-2022-0027,TR-FL-007,PT-FILTER-SEP,FM-FILTER-SEP-01,2022-08-16,6800,7,2750,VALIDATION_TEST,EF-02,7,Stress corrosion cracking of polymer bowl body observed on Primary Water Separator Drain Bowl Assembly. Root cause: Chemical attack from aggressive biodiesel additives under high ambient temperature
8D-2022-0028,TR-HYD-028,PT-COUPLING,FM-COUPLING-02,2022-08-22,6800,14,3150,VALIDATION_TEST,EF-08,7,Poppet valve stuck open leading to hydraulic oil spillage observed on Implement Quick-Disconnect Female Coupler. Root cause: Dirt particle contamination jamming internal poppet return spring
8D-2022-0029,TR-HYD-025,PT-HOSE-HYD,FM-HOSE-HYD-02,2022-08-26,5700,6,1300,VALIDATION_TEST,EF-03,9,Hose collapse & oil cavitation under cold start suction observed on Low-Pressure Hydraulic Oil Return Hose. Root cause: Vacuum collapse of inner rubber tube when fluid viscosity is high at -20°C
8D-2022-0030,TR-LEG-ST-933,PT-BRACKET,FM-BRACKET-09,2022-08-26,7400,15,250,END_OF_LINE_TEST,EF-12,3,"Fastener preload loss and bracket rattle observed on Fender Support Bracket (Program T5, retired 2020). Root cause: Paint film creep under the bolt head relaxing joint preload over thermal cycles"
8D-2022-0031,TR-FL-003,PT-HOSE-FUEL,FM-HOSE-FUEL-03,2022-08-28,2800,3,3400,VALIDATION_TEST,EF-01,9,Barb fitting pop-off under cold start pressure spikes recurred on High-Pressure Fuel Common Rail Feed Hose. Root cause: Viscous cold fuel creating transient backpressure above barb pull-off rating
8D-2022-0032,TR-AC-011,PT-HOSE-REFRIG,FM-HOSE-REFRIG-01,2022-09-08,8600,43,1350,END_OF_LINE_TEST,EF-10,6,Refrigerant leakage at aluminum crimp fitting collar observed on HVAC Refrigerant Suction Hose Assembly. Root cause: Axial fretting between ferrule crimp and rubber barrier under engine shake
8D-2022-0033,TR-ELE-041,PT-TUBE-PNEUMATIC,FM-TUBE-PNEUMATIC-01,2022-09-09,8200,8,3600,END_OF_LINE_TEST,EF-04,10,Kinking and trailer brake locking during sharp turn observed on Trailer Pneumatic Brake Supply Line. Root cause: Inadequate bend radius allowance at cab rear articulation joint
8D-2022-0034,TR-ENG-039,PT-BRACKET,FM-BRACKET-06,2022-09-14,2400,2,1850,END_OF_LINE_TEST,EF-06,8,Fan blade tip clipping against shroud ring observed on Engine Fan Shroud Structural Support Bracket. Root cause: Bracket flexure under heavy chassis twist allowing shroud misalignment
8D-2022-0035,TR-ENG-038,PT-HOSE-COOLANT,FM-HOSE-COOLANT-06,2022-09-17,5900,30,1250,DEALER_SERVICE,EF-05,8,Hose burst at clamp interface after cover ageing recurred on EGR Cooler Return Coolant Hose. Root cause: Cover ozone cracking reducing wall section under clamp compression
8D-2022-0036,TR-FL-008,PT-TUBE-RIGID,FM-TUBE-RIGID-01,2022-10-07,1200,2,3600,END_OF_LINE_TEST,EF-06,8,Vent line pinch and fuel starvation under chassis twist observed on Fuel Tank Breather & Vapor Vent Tube. Root cause: Inadequate clearance to rear axle suspension link during max articulation
8D-2022-0037,TR-HYD-029,PT-HOSE-HYD,FM-HOSE-HYD-04,2022-10-07,7300,7,3750,END_OF_LINE_TEST,EF-16,6,Steering drift due to air entrapment in pilot line observed on Electro-Hydraulic Steering Pilot Sensor Line. Root cause: High compliance in micro-bore tube expanding under pilot pressure
8D-2022-0038,TR-ENG-035,PT-TUBE-RIGID,FM-TUBE-RIGID-04,2022-10-10,5100,5,1150,END_OF_LINE_TEST,EF-05,8,Internal cavitation erosion pitting at 90-degree elbow bend observed on Water Pump Bypass Hard Rigid Tube. Root cause: High coolant velocity (>4.5 m/s) creating localized vapor bubble collapse
8D-2022-0039,TR-HYD-021,PT-HOSE-HYD,FM-HOSE-HYD-01,2022-10-21,1600,3,2650,END_OF_LINE_TEST,EF-03,9,Catastrophic hose wire burst & high-pressure oil spray observed on Steering Cylinder High-Pressure Flex Hose. Root cause: Transient hydraulic shock wave exceeding impulse fatigue limit (500k cycles)
8D-2022-0040,TR-FL-006,PT-COUPLING,FM-COUPLING-01,2022-10-23,1700,2,3600,DEALER_SERVICE,EF-01,9,Retaining latch tab embrittlement fracture observed on Quick-Connect Nylon Fuel Coupling. Root cause: UV exposure combined with calcium chloride road salt chemical degradation
