part_id,system_package,item_reference,elementary_function,material_type
TR-HYD-025,Hydraulic Steering Routings,Low-Pressure Hydraulic Oil Return Hose,Return oil from steering valve back to main hydraulic reservoir,NBR Synthetic Rubber with Textile Reinforcement
TR-HYD-026,Hydraulic Steering Routings,Rear 3-Point Hitch Implement Cylinder Hose,Supply high-pressure fluid to lift heavy agricultural implements,Two-Wire Braid Rubber Hose (SAE 100R2AT)
TR-HYD-027,Hydraulic Steering Routings,Hydrostatic Steering Orbitrol Valve Mounting Plate,Attach steering unit below cab floor pan with isolation dampers,Structural Steel S355JR
TR-HYD-028,Hydraulic Steering Routings,Implement Quick-Disconnect Female Coupler,Provide push-pull coupling interface for tractor trailing equipment,Hardened Carbon Steel 45 (Chrome Plated)
TR-HYD-029,Hydraulic Steering Routings,Electro-Hydraulic Steering Pilot Sensor Line,Transmit pilot hydraulic signal to auto-guidance valve block,Micro-Bore Flexible Polyamide Hose
TR-HYD-030,Hydraulic Steering Routings,Hydraulic Oil Cooler Bypass Thermo-Valve,Bypass hydraulic oil cooler during cold startup to accelerate warm-up,Cast Aluminum Alloy AC4C
TR-ENG-031,Engine Cooling Routings,Radiator Upper Coolant Feed Hose,Deliver 95°C engine coolant from thermostat housing to radiator,Peroxide-Cured EPDM with Polyester Reinforcement
TR-ENG-032,Engine Cooling Routings,Radiator Lower Suction Coolant Hose,Return cooled glycol mixture from radiator bottom tank to water pump,EPDM Rubber with Internal Helical Steel Wire
TR-ENG-033,Engine Cooling Routings,Coolant Degassing Expansion Tank Hose,Vent trapped air and steam from cylinder head to deaeration tank,Silicone Rubber VMQ with Aramid Braid
TR-ENG-034,Engine Cooling Routings,Thermostat Housing Constant-Tension Clamp,Maintain 900N clamping load around cast aluminum thermostat neck,Stainless Steel 301 Band with Belleville Washers
TR-ENG-035,Engine Cooling Routings,Water Pump Bypass Hard Rigid Tube,Recirculate coolant through engine block during engine warm-up,E235 Steel Tube with Electro-Coated Finish
TR-ENG-036,Engine Cooling Routings,Transmission Oil Cooler Heat Exchanger Hose,Route transmission fluid to liquid-to-liquid oil cooler,"HNBR Inner, Aramid Reinforcement, EPDM Cover"
TR-ENG-037,Engine Cooling Routings,Turbocharger Coolant Supply Hard Line,Feed pressurized coolant to turbo center housing bearing section,Seamless Stainless Steel 316L
TR-ENG-038,Engine Cooling Routings,EGR Cooler Return Coolant Hose,Carry heated coolant away from Exhaust Gas Recirculation cooler,High-Temp Aramid Reinforced Silicone (VMQ)
TR-ENG-039,Engine Cooling Routings,Engine Fan Shroud Structural Support Bracket,Position cooling fan shroud relative to engine crankshaft pulley,Stamped High-Strength Steel S420MC
TR-ENG-040,Engine Cooling Routings,Engine Block Coolant Drain Valve Cock,Allow complete drainage of engine coolant during overhaul service,Forged Brass CW614N
TR-ELE-041,Pneumatic & Electrical Routings,Trailer Pneumatic Brake Supply Line,Deliver 8.5 bar compressed air to trailer pneumatic braking system,Polyamide PA12 Air Brake Tubing
TR-ELE-042,Pneumatic & Electrical Routings,Main Engine Wiring Harness Flexible Conduit,"Protect 48-pin ECU sensor wires from heat, oil, and abrasion",Modified Polypropylene Slit Corrugated Tubing
TR-ELE-043,Pneumatic & Electrical Routings,Heavy-Duty Battery Cable Rubber Insulated P-Clamp,Support 70mm2 starter motor positive battery cable along frame rail,Galvanized Steel Strap with EPDM Cushion
TR-ELE-044,Pneumatic & Electrical Routings,Starter Motor Solenoid Protective Boot,Seal starter high-current B+ terminal against water and mud splash,Silicone Rubber Elastomer
TR-ELE-045,Pneumatic & Electrical Routings,Air Compressor Discharge Stainless Steel Braided Tube,Convey hot compressed air (220°C) from compressor to air dryer,PTFE Inner Tube with Stainless Steel Wire Braid
TR-ELE-046,Pneumatic & Electrical Routings,Wheel Speed ABS Sensor Cable Guard Bracket,Protect wheel speed sensor wiring from crop debris and mud packing,Stamped Stainless Steel 304
TR-ELE-047,Pneumatic & Electrical Routings,Park Brake Actuator Bowden Pull Cable Sleeve,Transmit mechanical handbrake lever pull force to rear axle calipers,Steel Wire Core with POM Polyacetal Liner & PVC Jacket
TR-ELE-048,Pneumatic & Electrical Routings,Cab Floor Frame Wire Harness Pass-Through Grommet,"Seal cab floor pan wire penetration against dust, noise, and water",EPDM Closed-Cell Sponge Rubber
TR-ELE-049,Pneumatic & Electrical Routings,Hydraulic Main Pressure Transducer Fitting,Mount 0-400 bar electronic pressure sensor into valve manifold,High-Strength Steel 42CrMo4
TR-ELE-050,Pneumatic & Electrical Routings,Rear Differential Lock Pneumatic Actuator Line,Engage rear differential lock via 6 bar pneumatic pressure pulse,Polyurethane PUR Flexible Tubing
