part_id,failure_mode,potential_cause,historical_severity,historical_occurrence,historical_detection,recommended_action
TR-ENG-038,Hose hardening & brittle snapping when touched during maintenance,Exhaust heat radiation exceeding 180°C continuous silicone thermal limit,7,5,3,Install reflective aluminum heat shield guard over EGR return hose.
TR-ENG-039,Fan blade tip clipping against shroud ring,Bracket flexure under heavy chassis twist allowing shroud misalignment,9,4,4,Add diagonal cross-brace tie rod to stiffen fan shroud structure.
TR-ENG-040,Dezincification corrosion & stem snapping upon opening,Aggressive tap water used in field topping off coolant mixture,6,4,2,Switch drain cock material to DZR (Dezincification Resistant) Brass CW602N.
TR-ELE-041,Kinking and trailer brake locking during sharp turn,Inadequate bend radius allowance at cab rear articulation joint,10,4,5,Incorporate coiled spiral spring-back air line assembly (Gladhand extension).
TR-ELE-042,Conduit melting & wire insulation short circuit to ground,Conduit sagging onto exhaust manifold heat shield,9,5,4,Upgrade conduit material to high-temp PA6 nylon with metal P-clamp retaining clips.
TR-ELE-043,Short circuit arc-flash against frame rail,EPDM rubber cushion wearing through under continuous cable vibration,10,3,5,Add secondary thick-walled polyolefin heat shrink sleeve over cable under P-clamp.
TR-ELE-044,Boot tearing and starter corrosion failure,Tearing during assembly due to sharp edges on terminal lug,7,6,3,Specify tear-resistant liquid silicone rubber (LSR) with rounded terminal lugs.
TR-ELE-045,Carbon buildup restriction inside PTFE tube lumen,Compressor oil carryover coking under extreme 220°C discharge heat,8,4,3,Increase internal tube diameter from 12mm to 16mm and add cooling fin section.
TR-ELE-046,Sensor wire rip-out during field tilling,Heavy corn stalk wrapping around unprotected wheel speed cable loop,8,6,4,Fully enclose cable inside heavy-duty steel channel guard.
TR-ELE-047,Park brake binding & pad drag in winter,Water ingress freezing inside cable liner at sub-zero temperatures,8,5,3,Incorporate double-lip silicone end wiper seals with synthetic low-temp grease.
TR-ELE-048,Dust & water leaks into cab interior during pressure washing,Incomplete sealing around bundled irregular wire harness shapes,6,6,2,Switch to pourable polyurethane gel foam sealing grommet block.
TR-ELE-049,Sensor diaphragm fatigue failure & internal oil leak,High-frequency hydraulic pressure ripple spikes from piston pump,9,3,5,Incorporate 0.8mm micro-orifice snubber inside sensor adapter thread port.
TR-ELE-050,Loss of differential lock engagement under heavy field pull,Tubing softening and swelling under ambient hydraulic fluid mist,7,4,3,Upgrade tube material to oil-resistant Polyamide PA11.
