mode_id,scope_id,scope_level,failure_mode,potential_cause,effect_id,typical_control,baseline_detection,recommended_action,origin,origin_part_id,origin_part_name
FM-VALVE-MECH-04,PT-VALVE-MECH,TYPE,Wax element stuck in bypass mode causing oil overheating,"Thermal degradation of paraffin wax charge after 1,500 operating hours",EF-05,Design review and validation test plan,3,"Replace wax element with bimetallic disc actuator rated for 5,000 hours.",CURRENT_PROGRAM,TR-HYD-030,Hydraulic Oil Cooler Bypass Thermo-Valve
FM-HOSE-COOLANT-01,PT-HOSE-COOLANT,TYPE,Electrochemical degradation (ECD) inner tube micro-channeling,Stray electrical currents in coolant fluid creating galvanic degradation,EF-05,Design review and validation test plan,4,Mandate ECD-resistant EPDM rubber compound (SAE J20 R4 Class D-1).,CURRENT_PROGRAM,TR-ENG-031,Radiator Upper Coolant Feed Hose
FM-HOSE-COOLANT-02,PT-HOSE-COOLANT,TYPE,Hose suction collapse under high engine RPM,Corrosion fracture of internal wire spring under acidic glycol breakdown,EF-05,Design review and validation test plan,4,Switch wire spring material to stainless steel 302 wire.,CURRENT_PROGRAM,TR-ENG-032,Radiator Lower Suction Coolant Hose
FM-HOSE-COOLANT-03,PT-HOSE-COOLANT,TYPE,Coolant vapor permeation loss requiring frequent top-ups,High steam permeability coefficient of standard silicone rubber,EF-15,Design review and validation test plan,2,Add fluoro-silicone (FVMQ) inner liner barrier layer.,CURRENT_PROGRAM,TR-ENG-033,Coolant Degassing Expansion Tank Hose
FM-CLAMP-03,PT-CLAMP,TYPE,Coolant weeping during extreme cold soak (-25°C),EPDM hose neck relaxation exceeding clamp Belleville spring travel,EF-02,Design review and validation test plan,3,Increase Belleville washer stack height to allow double spring displacement.,CURRENT_PROGRAM,TR-ENG-034,Thermostat Housing Constant-Tension Clamp
FM-TUBE-RIGID-04,PT-TUBE-RIGID,TYPE,Internal cavitation erosion pitting at 90-degree elbow bend,High coolant velocity (>4.5 m/s) creating localized vapor bubble collapse,EF-05,Design review and validation test plan,4,Increase bend radius ratio R/D from 1.5 to 2.5 to reduce flow turbulence.,CURRENT_PROGRAM,TR-ENG-035,Water Pump Bypass Hard Rigid Tube
FM-HOSE-COOLANT-04,PT-HOSE-COOLANT,TYPE,Oil blistering and outer cover delamination,Transmission fluid additives (sulfur-phosphorus EP) swelling inner rubber,EF-02,Design review and validation test plan,3,Upgrade inner rubber liner to Fluoroelastomer FKM.,CURRENT_PROGRAM,TR-ENG-036,Transmission Oil Cooler Heat Exchanger Hose
FM-TUBE-RIGID-05,PT-TUBE-RIGID,TYPE,Thermal shock cracking at banjo fitting brazed joint,Severe thermal gradient during hot engine shutdown (coking temperature >300°C),EF-06,Design review and validation test plan,5,Replace brazed banjo fitting with one-piece forged stainless steel fitting.,CURRENT_PROGRAM,TR-ENG-037,Turbocharger Coolant Supply Hard Line
FM-HOSE-COOLANT-05,PT-HOSE-COOLANT,TYPE,Hose hardening & brittle snapping when touched during maintenance,Exhaust heat radiation exceeding 180°C continuous silicone thermal limit,EF-14,Design review and validation test plan,3,Install reflective aluminum heat shield guard over EGR return hose.,CURRENT_PROGRAM,TR-ENG-038,EGR Cooler Return Coolant Hose
FM-BRACKET-06,PT-BRACKET,TYPE,Fan blade tip clipping against shroud ring,Bracket flexure under heavy chassis twist allowing shroud misalignment,EF-06,Design review and validation test plan,4,Add diagonal cross-brace tie rod to stiffen fan shroud structure.,CURRENT_PROGRAM,TR-ENG-039,Engine Fan Shroud Structural Support Bracket
FM-VALVE-MECH-05,PT-VALVE-MECH,TYPE,Dezincification corrosion & stem snapping upon opening,Aggressive tap water used in field topping off coolant mixture,EF-05,Design review and validation test plan,2,Switch drain cock material to DZR (Dezincification Resistant) Brass CW602N.,CURRENT_PROGRAM,TR-ENG-040,Engine Block Coolant Drain Valve Cock
FM-TUBE-PNEUMATIC-01,PT-TUBE-PNEUMATIC,TYPE,Kinking and trailer brake locking during sharp turn,Inadequate bend radius allowance at cab rear articulation joint,EF-04,Design review and validation test plan,5,Incorporate coiled spiral spring-back air line assembly (Gladhand extension).,CURRENT_PROGRAM,TR-ELE-041,Trailer Pneumatic Brake Supply Line
FM-CONDUIT-ELEC-01,PT-CONDUIT-ELEC,TYPE,Conduit melting & wire insulation short circuit to ground,Conduit sagging onto exhaust manifold heat shield,EF-09,Design review and validation test plan,4,Upgrade conduit material to high-temp PA6 nylon with metal P-clamp retaining clips.,CURRENT_PROGRAM,TR-ELE-042,Main Engine Wiring Harness Flexible Conduit
FM-CLAMP-04,PT-CLAMP,TYPE,Short circuit arc-flash against frame rail,EPDM rubber cushion wearing through under continuous cable vibration,EF-09,Design review and validation test plan,5,Add secondary thick-walled polyolefin heat shrink sleeve over cable under P-clamp.,CURRENT_PROGRAM,TR-ELE-043,Heavy-Duty Battery Cable Rubber Insulated P-Clamp
FM-SEAL-02,PT-SEAL,TYPE,Boot tearing and starter corrosion failure,Tearing during assembly due to sharp edges on terminal lug,EF-06,Design review and validation test plan,3,Specify tear-resistant liquid silicone rubber (LSR) with rounded terminal lugs.,CURRENT_PROGRAM,TR-ELE-044,Starter Motor Solenoid Protective Boot
FM-HOSE-HOTGAS-01,PT-HOSE-HOTGAS,TYPE,Carbon buildup restriction inside PTFE tube lumen,Compressor oil carryover coking under extreme 220°C discharge heat,EF-04,Design review and validation test plan,3,Increase internal tube diameter from 12mm to 16mm and add cooling fin section.,CURRENT_PROGRAM,TR-ELE-045,Air Compressor Discharge Stainless Steel Braided Tube
FM-BRACKET-07,PT-BRACKET,TYPE,Sensor wire rip-out during field tilling,Heavy corn stalk wrapping around unprotected wheel speed cable loop,EF-16,Design review and validation test plan,4,Fully enclose cable inside heavy-duty steel channel guard.,CURRENT_PROGRAM,TR-ELE-046,Wheel Speed ABS Sensor Cable Guard Bracket
FM-CABLE-MECH-01,PT-CABLE-MECH,TYPE,Park brake binding & pad drag in winter,Water ingress freezing inside cable liner at sub-zero temperatures,EF-04,Design review and validation test plan,3,Incorporate double-lip silicone end wiper seals with synthetic low-temp grease.,CURRENT_PROGRAM,TR-ELE-047,Park Brake Actuator Bowden Pull Cable Sleeve
FM-SEAL-03,PT-SEAL,TYPE,Dust & water leaks into cab interior during pressure washing,Incomplete sealing around bundled irregular wire harness shapes,EF-13,Design review and validation test plan,2,Switch to pourable polyurethane gel foam sealing grommet block.,CURRENT_PROGRAM,TR-ELE-048,Cab Floor Frame Wire Harness Pass-Through Grommet
FM-FITTING-02,PT-FITTING,TYPE,Sensor diaphragm fatigue failure & internal oil leak,High-frequency hydraulic pressure ripple spikes from piston pump,EF-08,Design review and validation test plan,5,Incorporate 0.8mm micro-orifice snubber inside sensor adapter thread port.,CURRENT_PROGRAM,TR-ELE-049,Hydraulic Main Pressure Transducer Fitting
FM-TUBE-PNEUMATIC-02,PT-TUBE-PNEUMATIC,TYPE,Loss of differential lock engagement under heavy field pull,Tubing softening and swelling under ambient hydraulic fluid mist,EF-07,Design review and validation test plan,3,Upgrade tube material to oil-resistant Polyamide PA11.,CURRENT_PROGRAM,TR-ELE-050,Rear Differential Lock Pneumatic Actuator Line
FM-HOSE-FUEL-04,PT-HOSE-FUEL,TYPE,Fuel leakage at crimped ferrule joint,Ferrule crimp relaxation after repeated thermal cycling of the hose stem,EF-01,End-of-line 6 bar air-decay leak test,4,Specify controlled crimp diameter with 100% post-crimp gauge check; move to a cold-formed one-piece stem.,PRIOR_PROGRAM,TR-LEG-FL-901,"Fuel Feed Hose (Program T6, retired 2022)"
FM-HOSE-FUEL-05,PT-HOSE-FUEL,TYPE,Inner tube swelling and delamination on high biodiesel blends,B20+ fatty acid methyl ester attack on the standard NBR inner liner,EF-06,Fluid compatibility soak test at type approval only,6,Qualify the inner liner to B30 soak schedule; move to an FKM / NBR co-extruded liner.,PRIOR_PROGRAM,TR-LEG-FL-903,"Fuel Return Line (Program T6, retired 2022)"
FM-HOSE-COOLANT-06,PT-HOSE-COOLANT,TYPE,Hose burst at clamp interface after cover ageing,Cover ozone cracking reducing wall section under clamp compression,EF-05,Visual inspection at scheduled service,6,Move to a peroxide-cured EPDM cover and add ozone resistance to the drawing spec.,PRIOR_PROGRAM,TR-LEG-EN-911,"Radiator Hose (Program T5, retired 2021)"
FM-FLEX-ROUTING-01,FAM-FLEX-ROUTING,FAMILY,Cover pinhole leak from abrasion against adjacent harness,Relative motion between hose and wiring harness with no separation clip,EF-02,Design review clearance check,5,Mandate 15mm separation or spiral wrap wherever a hose and harness share a routing corridor.,PRIOR_PROGRAM,TR-LEG-HY-921,"Loader Boom Hose (Program T5, retired 2021)"
FM-BRACKET-08,PT-BRACKET,TYPE,Weld seam cracking in the heat affected zone,Undercut at the weld toe acting as a crack initiation site under cyclic load,EF-06,Sample dye penetrant inspection,6,Specify weld toe grinding and 100% visual per ISO 5817 class B on safety-related brackets.,PRIOR_PROGRAM,TR-LEG-ST-931,"Cab Mount Bracket (Program T5, retired 2020)"
FM-BRACKET-09,PT-BRACKET,TYPE,Fastener preload loss and bracket rattle,Paint film creep under the bolt head relaxing joint preload over thermal cycles,EF-12,Assembly torque audit,4,Use flange bolts with a serrated bearing face; mask paint at bolt seating faces.,PRIOR_PROGRAM,TR-LEG-ST-933,"Fender Support Bracket (Program T5, retired 2020)"
FM-CLAMP-05,PT-CLAMP,TYPE,Clamp band stress corrosion cracking in salt environments,Chloride attack on sensitised 301 stainless band under sustained tensile load,EF-02,480h salt spray on sample lots,5,Move band material to 316L or Zn-Ni coated carbon steel for chassis-exposed positions.,PRIOR_PROGRAM,TR-LEG-CL-941,"Coolant Hose Clamp (Program T5, retired 2021)"
FM-FLOW-CONTROL-01,FAM-FLOW-CONTROL,FAMILY,Valve body porosity leak from casting defect,Gas porosity in the die cast body wall opening under pressure cycling,EF-02,Sample pressure test per casting lot,6,100% air-decay leak test on cast bodies; add porosity acceptance criteria to the drawing.,PRIOR_PROGRAM,TR-LEG-VL-951,"Hydraulic Selector Valve (Program T4, retired 2019)"
FM-FLOW-CONTROL-02,FAM-FLOW-CONTROL,FAMILY,Actuation seizure after long dormancy in cold climates,Condensate freezing around the spool with no drainage path,EF-15,Cold chamber functional test at type approval,7,Add a drain path and low-temperature grease; extend cold soak validation to -30C after 30 day dormancy.,PRIOR_PROGRAM,TR-LEG-VL-953,"Air Tank Drain Valve (Program T4, retired 2019)"
FM-RIGID-ROUTING-01,FAM-RIGID-ROUTING,FAMILY,Flare joint leak from over-torque during field service,No torque specification on service documentation leading to flare cracking,EF-02,None - relies on technician judgement,7,Publish torque values on the service label and adopt a torque-tolerant captive sleeve fitting.,PRIOR_PROGRAM,TR-LEG-TB-961,"Brake Hard Line (Program T5, retired 2021)"
FM-SEAL-04,PT-SEAL,TYPE,Seal chemical swell from incorrect service fluid,Field top-up with non-approved fluid attacking the elastomer compound,EF-02,Service manual fluid specification,7,Select a broad-compatibility compound (HNBR or FKM) and add a fluid spec label at every fill point.,PRIOR_PROGRAM,TR-LEG-SL-971,"Transmission Cover Seal (Program T4, retired 2019)"
FM-COUPLING-03,PT-COUPLING,TYPE,Dust cap loss leading to contamination ingress at the coupler,Tether fatigue fracture allowing the cap to be lost in the field,EF-08,None in service,6,Integrate a captive hinged cap into the coupler body rather than a tethered separate part.,PRIOR_PROGRAM,TR-LEG-CP-981,"Implement Coupler (Program T5, retired 2021)"
FM-TUBE-PNEUMATIC-03,PT-TUBE-PNEUMATIC,TYPE,Tube kink at bulkhead pass-through restricting air flow,Bend radius below the specified minimum where the tube crosses the frame,EF-04,Assembly visual check,5,Add a moulded bend support at every bulkhead crossing and verify radius on the digital mock-up.,PRIOR_PROGRAM,TR-LEG-PN-991,"Air Supply Tube (Program T5, retired 2020)"
FM-JOINT-01,FAM-JOINT,FAMILY,Thread galling on stainless fitting during assembly,Like-on-like austenitic stainless thread contact without anti-seize,EF-15,Assembly torque monitoring,4,Specify dissimilar thread hardness or a dry film lubricant coating on one mating thread.,PRIOR_PROGRAM,TR-LEG-FT-995,"Manifold Port Adapter (Program T4, retired 2019)"
FM-CONDUIT-ELEC-02,PT-CONDUIT-ELEC,TYPE,Sleeve end fraying exposing conductors to abrasion,Cut sleeve end left untreated at the harness breakout,EF-09,Harness visual inspection,5,Require heat-sealed or moulded sleeve terminations at every breakout point.,PRIOR_PROGRAM,TR-LEG-CD-997,"Chassis Harness Conduit (Program T5, retired 2021)"
FM-HOSE-REFRIG-03,PT-HOSE-REFRIG,TYPE,Refrigerant permeation loss through the hose wall over service life,Barrier layer permeability above the rate assumed for the charge size,EF-10,Annual dealer recharge,8,Move to a veneer barrier construction and set a permeation rate limit on the drawing.,PRIOR_PROGRAM,TR-LEG-AC-999,"AC Suction Hose (Program T4, retired 2019)"
FM-FILTER-SEP-03,PT-FILTER-SEP,TYPE,Housing thread cross-threading during service causing leak,Coarse thread pitch on a polymer housing tightened by hand in the field,EF-02,Service training only,7,Adopt a bayonet or quarter-turn interface for serviceable polymer housings.,PRIOR_PROGRAM,TR-LEG-FS-993,"Water Separator Housing (Program T5, retired 2020)"
FM-FLEX-ROUTING-02,FAM-FLEX-ROUTING,FAMILY,Chafing wear-through against adjacent structure,Line contacting a frame member or bracket edge with no separation clip or sleeve,EF-02,Digital mock-up clearance check at design freeze,5,Hold 15mm minimum clearance to any edge or moving structure; add a rubber-cushioned P-clamp at every crossing.,PRIOR_PROGRAM,TR-LEG-GN-801,"Multiple flexible lines (Programs T4-T6, recurring)"
FM-HOSE-HOTGAS-02,PT-HOSE-HOTGAS,TYPE,Braid strand fatigue fracture at the ferrule,Thermal cycling of the braid against a rigid crimp with no strain relief,EF-02,Pressure cycling test at type approval,6,Add a moulded strain relief boot at the ferrule and extend cycling validation to the hot discharge duty cycle.,PRIOR_PROGRAM,TR-LEG-PN-995,"Compressor Discharge Hose (Program T5, retired 2021)"
FM-VALVE-SOLENOID-02,PT-VALVE-SOLENOID,TYPE,Coil insulation breakdown from thermal ageing,Continuous duty coil temperature above the winding insulation class rating,EF-09,Coil resistance check at end of line,6,Move to class H winding insulation and verify coil temperature rise at maximum ambient with the valve held energised.,PRIOR_PROGRAM,TR-LEG-VL-957,"Transmission Shift Solenoid (Program T4, retired 2019)"
FM-CABLE-MECH-02,PT-CABLE-MECH,TYPE,Inner cable corrosion increasing actuation effort,Liner permeability allowing moisture to reach the uncoated steel core,EF-15,Actuation force check at end of line,5,Specify a galvanised or PTFE-coated inner core and seal both cable ends against water ingress.,PRIOR_PROGRAM,TR-LEG-CB-985,"Throttle Control Cable (Program T4, retired 2019)"
